School,Type_of_Organization,County,School_District,School_City,School_Zip_Code,School_Street,Number_of_Outlets_LT_15_ppb,Number_of_Outlets_GT_15_ppb,Any_Buildings_with_Lead_Free_Plumbing,Out_of_Service,Latitude,Longitude,Median_HH_income,County_population,County_White,County_Black_AfAm,County_Asian,County_Hispanic_Latino
SULLIVAN BOCES,BOCES School,Sullivan,BOCES No District Name,LIBERTY,12754,6 WIERK AVE,NA,NA,No,No,41.705166, -74.711705,41861,77547,57780,6349,1033,10554
HAMBURG SHS,Public School,Erie,HAMBURG CENTRAL SCHOOL,HAMBURG,14075,LEGION DR,98,6,No,Yes,42.888143, -78.795544,63478,919040,714156,119916,23621,41731
LYONS ELEMENTARY SCHOOL,Public School,Wayne,LYONS CENTRAL SCHOOL,LYONS,14489,98 WILLIAMS ST,27,2,No,Yes,43.144336, -77.117995,42088,93772,85318,2743,465,3476
OAK ORCHARD SCHOOL,Public School,Orleans,MEDINA CENTRAL SCHOOL,MEDINA,14103,W OAK ORCHARD ST,110,5,No,Yes,43.248394, -78.218438,43391,42883,37658,2368,173,1757
BRADLEY ELEMENTARY SCHOOL,Public School,Oneida,NEW HARTFORD CENTRAL SCHOOL,NEW HARTFORD,13413,OXFORD RD,97,0,No,No,43.149482, -75.361773,64146,234878,199254,13682,6522,10819
COLDEN ES,Public School,Erie,SPRINGVILLE-GRIFF INST CENTRAL SCHOOL,COLDEN,14033,COLDEN ES,55,6,No,Yes,42.888143, -78.795544,78750,919040,714156,119916,23621,41731
WELLS SCHOOL,Public School,Hamilton,WELLS CENTRAL SCHOOL,WELLS,12190,ROUTE 30,44,11,No,Yes,43.618468, -74.395268,47375,4836,4664,33,24,51
X085,Public School,Bronx,NYC DOE,Bronx,10458,2400 MARION AVENUE,78,0,No,No,40.858689, -73.894682,24478,1385108,151209,416695,47335,741413
CANDOR J S H S,Public School,Tioga,CANDOR CENTRAL SCHOOL,CANDOR,13743,CANDOR J S H S,116,0,No,No,42.120252, -76.29595,54944,51125,49105,349,371,694
SCHOOL  7,Public School,Chautauqua,DUNKIRK CITY SCHOOL DISTRICT,DUNKIRK,14048,348 LAKE SHORE DR E,28,1,No,Yes,42.246904, -79.315313,40121,134905,120463,2763,676,8241
UNION VALE MIDDLE SCHOOL,Public School,Dutchess,ARLINGTON CENTRAL SCHOOL DISTRICT,LAGRANGEVILLE,12540,1657 E NOXON RD,150,45,No,Yes,41.686216, -73.840468,98311,297488,221812,27395,10330,31267
X967,Public School,Bronx,NYC DOE,Bronx,10460,2024 MOHEGAN AVENUE,4,0,No,No,40.843781, -73.884192,22625,1385108,151209,416695,47335,741413
M501,Public School,New York,NYC DOE,Manhattan,10035,2005 MADISON AVENUE,101,0,No,No,40.807019, -73.938714,26214,1585873,761493,205340,177624,403577
BLUE MOUNTAIN MIDDLE SCHOOL,Public School,Westchester,HENDRICK HUDSON CENTRAL SCHOOL,CORTLANDT MANOR,10567,7 FURNACE WOODS RD,31,2,No,Yes,41.039278, -73.805386,108618,949113,544563,126585,51123,207032
C E WALTERS SCHOOL,Public School,Suffolk,LONGWOOD CENTRAL SCHOOL DISTRICT,YAPHANK,11980,EVERETT DR,202,1,No,Yes,40.820237, -73.119032,85250,1493350,1068728,102117,50295,246239
BENJAMIN COSOR ELEM SCHOOL,Public School,Sullivan,FALLSBURGH CENTRAL SCHOOL,FALLSBURGH,12733,15 OLD FALLS RD,117,2,No,Yes,41.705166, -74.711705,48173,77547,57780,6349,1033,10554
K813,Public School,Kings,NYC DOE,Brooklyn,11238,355 PARK PLACE,14,0,No,No,40.676314, -73.965848,64981,2504700,893306,799066,260129,496285
K664,Public School,Kings,NYC DOE,Brooklyn,11220,140 58TH STREET,47,0,No,No,40.645338, -74.022864,38267,2504700,893306,799066,260129,496285
SCHOOL 44 LINCOLN PARK,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14611,820 CHILI AVE,41,2,No,Yes,43.161748, -77.620143,23320,744344,542034,107448,24023,54005
SOUTHWESTERN MS,Public School,Chautauqua,SOUTH WESTERN CENTRAL-JAMESTOWN DISTRICT,JAMESTOWN,14701,600 HUNT RD,49,10,No,Yes,42.246904, -79.315313,35966,134905,120463,2763,676,8241
LETCHWORTH ES,Public School,Wyoming,LETCHWORTH CENT SCH AT GAINESVILLE,GAINESVILLE,14427,5550 SCHOOL RD,33,7,No,Yes,42.723641, -78.204473,46207,42155,38042,2233,156,1244
MEADOW POND ELEM SCHOOL,Public School,Westchester,KATONAH LEWISBORO U F S,SOUTH SALEM,10590,185 SMITHRIDGE RD,44,0,No,Yes,41.039278, -73.805386,132037,949113,544563,126585,51123,207032
SPENCER VAN ETTEN MIDDLE SCHOOL,Public School,Tioga,SPENCER VAN ETTEN CENTRAL SCHOOL,SPENCER,14883,1 CENTER ST,81,2,No,Yes,42.120252, -76.29595,53205,51125,49105,349,371,694
K260,Public School,Kings,NYC DOE,Brooklyn,11207,875 WILLIAMS AVENUE,108,0,No,No,40.653368, -73.893294,32642,2504700,893306,799066,260129,496285
OAKDALE-BOHEMIA RD MIDDLE SCHOOL,Public School,Suffolk,CONNETQUOT CENT SCH OF ISLIP,OAKDALE,11769,OAKDALE-BOHEMIA RD,47,0,No,Yes,40.820237, -73.119032,96844,1493350,1068728,102117,50295,246239
ROCHESTER EARLY CHILDHOOD EDUCATION (LEAD ONLY),Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14614,107 N. CLINTON AVE,NA,NA,No,No,43.161748, -77.620143,NA,744344,542034,107448,24023,54005
CHERRY ROAD ELEM SCHOOL,Public School,Onondaga,WESTHILL CENTRAL SCHOOL,SYRACUSE,13219,201 CHERRY RD,95,9,No,Yes,43.065629, -76.168033,58407,467026,370040,48696,14370,18829
WASHINGTONVILLE S H S,Public School,Orange,WASHINGTONVILLE CENTRAL SCHOOL,WASHINGTONVILLE,10992,54 W MAIN ST,122,149,No,Yes,41.422459, -74.241929,90617,372813,254259,33895,8685,67185
GRUNDY AVENUE SCHOOL,Public School,Suffolk,SACHEM CENT SCH AT HOLBROOK,HOLBROOK,11741,950 GRUNDY AVE,50,0,No,Yes,40.820237, -73.119032,95665,1493350,1068728,102117,50295,246239
COLUMBUS ELEM SCHOOL,Public School,Westchester,NEW ROCHELLE CITY SCHOOLS,NEW ROCHELLE,10801,275 WASHINGTON AVE,95,8,No,Yes,41.039278, -73.805386,55844,949113,544563,126585,51123,207032
FRANKLIN EARLY CHILDHOOD CENTER,Public School,Nassau,HEWLETT WOODMERE PUBLIC SCHOOLS,HEWLETT,11557,SERENA RD,24,0,No,Yes,40.715749, -73.601185,114591,1339532,877309,141305,101558,195355
MARATHON HS,Public School,Cortland,MARATHON CENTRAL SCHOOL DISTRICT,MARATHON,13803,MARATHON HS,55,18,No,Yes,42.597101, -76.143291,51961,49336,46252,705,412,1094
X470,Public School,Bronx,NYC DOE,Bronx,10455,701 ST. ANNS AVENUE,54,0,No,No,40.818041, -73.911633,21379,1385108,151209,416695,47335,741413
DAVID B CRANE ELEM SCHOOL,Public School,Monroe,RUSH HENRIETTA CENTRAL SCHOOL,ROCHESTER,14623,85 SHELL EDGE DR,119,0,No,No,43.161748, -77.620143,48221,744344,542034,107448,24023,54005
JACK ABRAMS STEM MAGNET SCHOOL,Public School,Suffolk,HUNTINGTON UNION FREE SCHOOL,HUNTINGTON STATION,11746,155 LOWNDES AVENUE,99,0,No,Yes,40.820237, -73.119032,96499,1493350,1068728,102117,50295,246239
CAMDEN S H S,Public School,Oneida,CAMDEN CENTRAL SCHOOL,CAMDEN,13316,55 OSWEGO ST,192,27,No,Yes,43.149482, -75.361773,51552,234878,199254,13682,6522,10819
SCHOOL 10 DR WALTER COOPER ACADEMY,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14619,353 Congress Avenue,18,0,No,Yes,43.161748, -77.620143,37560,744344,542034,107448,24023,54005
K230,Public School,Kings,NYC DOE,Brooklyn,11218,1 ALBEMARLE ROAD,64,0,No,No,40.645609, -73.980515,53251,2504700,893306,799066,260129,496285
KODA MIDDLE SCHOOL,Public School,Saratoga,SHENENDEHOWA CENTRAL SCHOOL,CLIFTON PARK,12065,970 ROUTE 146,80,4,No,Yes,43.00894, -73.786779,77931,219607,203647,3053,3880,5279
FAIRPORT X H S,Public School,Monroe,FAIRPORT CENTRAL SCHOOL,FAIRPORT,14450,1 Dave Paddock Way,86,77,No,Yes,43.161748, -77.620143,75970,744344,542034,107448,24023,54005
CLINTON V BUSH ES,Public School,Chautauqua,JAMESTOWN CITY SCHOOL DISTRICT,JAMESTOWN,14701,150 PARDEE AVE,66,6,No,Yes,42.246904, -79.315313,35966,134905,120463,2763,676,8241
PUTNAM-NORTHERN WESTCHESTER BOCES - Fox Meadow School,BOCES School,Putnam,BOCES No District Name,Yorktown Heights,10598,Fox Meadow School,NA,NA,No,No,41.41131, -73.717443,103815,99710,82709,2047,1832,11661
K939,Public School,Kings,NYC DOE,Brooklyn,11232,4004 4 AVENUE,9,0,No,No,40.652127, -74.007596,40565,2504700,893306,799066,260129,496285
HOMER SHS,Public School,Cortland,HOMER CENTRAL SCHOOL DISTRICT,HOMER,13077,80 S WEST ST,114,73,No,Yes,42.597101, -76.143291,55288,49336,46252,705,412,1094
BATAVIA HS,Public School,Genesee,BATAVIA CITY SCHOOLS,BATAVIA,14020,260 State Street,59,6,No,Yes,43.000121, -78.172679,43716,60079,54990,1491,355,1616
M600,Public School,New York,NYC DOE,Manhattan,10011,225 WEST 24 STREET,289,0,No,No,40.745677, -73.996354,101515,1585873,761493,205340,177624,403577
MORRIS CENTRAL SCHOOL,Public School,Otsego,MORRIS CENTRAL SCHOOL,MORRIS,13808,W MAIN ST,69,0,No,Yes,42.564852, -75.060334,47057,62259,57734,958,660,1921
GREECE ARCADIA H S,Public School,Monroe,GREECE CENTRAL SCHOOL,ROCHESTER,14612,120 ISLAND COTTAGE RD,292,0,No,Yes,43.161748, -77.620143,61066,744344,542034,107448,24023,54005
GOWANDA MS,Public School,Cattaraugus,GOWANDA CENTRAL SCHOOL DISTRICT,GOWANDA,14070,10674 PROSPECT ST,68,27,No,Yes,42.224267, -78.606673,47167,80317,73849,966,524,1345
X843,Public School,Bronx,NYC DOE,Bronx,10468,2641 GRAND CONCOURSE,40,0,No,No,40.865972, -73.8953,32985,1385108,151209,416695,47335,741413
X089,Public School,Bronx,NYC DOE,Bronx,10469,980 MACE AVENUE,76,0,No,No,40.862481, -73.859254,55724,1385108,151209,416695,47335,741413
GEORGE WASHINGTON SCHOOL,Public School,Westchester,WHITE PLAINS CITY SCHOOLS,WHITE PLAINS,10604,100 ORCHARD ST,112,0,No,Yes,41.039278, -73.805386,76480,949113,544563,126585,51123,207032
M480,Public School,New York,NYC DOE,Manhattan,10065,317 EAST 67 STREET,183,0,No,No,40.765638, -73.959777,109960,1585873,761493,205340,177624,403577
W A WETTEL ELEM SCHOOL,Public School,Oneida,SHERRILL CITY SCHOOLS,VERNON,13476,4329 PETERBORO ST,55,2,No,Yes,43.149482, -75.361773,47986,234878,199254,13682,6522,10819
WATERFORD J S H S,Public School,Saratoga,WATERFORD-HALFMOON U F SCH,WATERFORD,12188,125 MIDDLETOWN RD,103,3,No,Yes,43.00894, -73.786779,65385,219607,203647,3053,3880,5279
Q884,Public School,Queens,NYC DOE,Queens,11417,103-22 99 STREET,87,0,No,No,40.682293, -73.841675,61284,2230722,616727,395881,508334,613750
CLARKSTOWN NORTH S H S,Public School,Rockland,CLARKSTOWN CENTRAL SCHOOL,NEW CITY,10956,151 CONGERS RD,267,27,No,Yes,41.127287, -74.017033,119022,311687,203670,34623,19099,48783
CAROLINE STREET SCHOOL,Public School,Saratoga,SARATOGA SPRINGS CITY SCHOOLS,SARATOGA SPRINGS,12866,310 CAROLINE ST,74,1,No,Yes,43.00894, -73.786779,64696,219607,203647,3053,3880,5279
MEMORIAL PARK ELEMENTARY SCHOOL,Public School,Oneida,WATERVILLE CENTRAL SCHOOL,WATERVILLE,13480,145 E BACON ST,93,43,No,No,43.149482, -75.361773,50223,234878,199254,13682,6522,10819
X093,Public School,Bronx,NYC DOE,Bronx,10473,1535 STORY AVENUE,39,0,No,No,40.822522, -73.877274,37616,1385108,151209,416695,47335,741413
AVON HS,Public School,Livingston,AVON CENTRAL SCHOOL DISTRICT,AVON,14414,245 CLINTON ST,18,0,No,Yes,42.763754, -77.765392,63889,65393,60296,1491,780,1802
X125,Public School,Bronx,NYC DOE,Bronx,10472,1111 PUGSLEY AVENUE,90,0,No,No,40.829153, -73.857882,31594,1385108,151209,416695,47335,741413
M918,Public School,New York,NYC DOE,Manhattan,10034,421 W 219TH ST,94,0,No,No,40.871673, -73.912339,43049,1585873,761493,205340,177624,403577
X022,Public School,Bronx,NYC DOE,Bronx,10456,270 EAST 167 STREET,70,0,No,No,40.832022, -73.91435,22604,1385108,151209,416695,47335,741413
X166,Public School,Bronx,NYC DOE,Bronx,10456,250 EAST 164 STREET,116,0,No,No,40.828009, -73.917705,22604,1385108,151209,416695,47335,741413
ALTERNATIVE COMMUNITY SCHOOL,Public School,Tompkins,ITHACA CITY SCHOOLS,ITHACA,14850,111 CHESTNUT ST,35,4,No,Yes,42.461024, -76.478784,47022,101564,81490,3773,8680,4264
VALLEY COTTAGE ELEMENTARY SCHOOL,Public School,Rockland,NYACK UNION FREE SCHOOL,VALLEY COTTAGE,10989,26 LAKE RD,34,0,No,No,41.127287, -74.017033,98904,311687,203670,34623,19099,48783
LIVERPOOL HIGH SCHOOL,Public School,Onondaga,LIVERPOOL CENTRAL SCHOOL,LIVERPOOL,13090,4338 WETZEL RD,121,53,No,Yes,43.065629, -76.168033,70564,467026,370040,48696,14370,18829
K975,Public School,Kings,NYC DOE,Brooklyn,11234,6302 AVENUE U,4,0,No,No,40.615494, -73.912005,68177,2504700,893306,799066,260129,496285
X091,Public School,Bronx,NYC DOE,Bronx,10453,2200 AQUEDUCT AVENUE,50,0,No,No,40.858286, -73.907494,26120,1385108,151209,416695,47335,741413
HENNINGER H S,Public School,Onondaga,SYRACUSE CITY SCHOOLS,SYRACUSE,13206,600 ROBINSON ST,127,2,No,Yes,43.065629, -76.168033,40102,467026,370040,48696,14370,18829
PATCHOGUE-MEDFORD H S,Public School,Suffolk,PATCHOGUE-MEDFORD U F SCH,MEDFORD,11763,181 BUFFALO AVE,105,0,No,Yes,40.820237, -73.119032,88125,1493350,1068728,102117,50295,246239
SCOTIA GLENVILLE S H S,Public School,Schenectady,SCOTIA GLENVILLE CENT SCH,SCOTIA,12302,1 Tartan Way,153,82,No,Yes,42.809233, -73.946838,63781,154727,119409,13528,4917,8827
NORTH COLEMAN ROAD SCHOOL,Public School,Suffolk,MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,CENTEREACH,11720,N COLEMAN RD,36,0,No,Yes,40.820237, -73.119032,94307,1493350,1068728,102117,50295,246239
Q505,Public School,Queens,NYC DOE,Queens,11432,160-05 HIGHLAND AVENUE,109,0,No,No,40.709461, -73.803001,50130,2230722,616727,395881,508334,613750
SPRUCE SCHOOL (K-3),Public School,Niagara,NORTH TONAWANDA CITY SCHOOLS,NO TONAWANDA,14120,195 SPRUCE ST,73,39,No,Yes,43.134634, -78.856419,53118,216469,188907,14511,1807,4694
X112,Public School,Bronx,NYC DOE,Bronx,10466,1925 SCHIEFFELIN AVENUE,115,0,No,No,40.88494, -73.843977,44038,1385108,151209,416695,47335,741413
MOHONASEN SHS,Public School,Schenectady,ROTTERDAM-MOHONASEN,SCHENECTADY,12303,2072 CURRY RD,133,3,No,Yes,42.809233, -73.946838,61223,154727,119409,13528,4917,8827
SHIP,Public School,Suffolk,SOUTH HUNTINGTON SCHOOL DISTRICT,HUNTINGTON STATION,11746,60 WESTON ST,16,0,No,Yes,40.820237, -73.119032,96499,1493350,1068728,102117,50295,246239
WESTCHESTER BOCES CAREER CAMPUS BUILDING A (LEAD ONLY),BOCES School,Westchester,BOCES No District Name,VALHALLA,10595,65 GRASSLANDS ROAD,0,0,No,Yes,41.039278, -73.805386,103922,949113,544563,126585,51123,207032
PUTNAM CENTRAL SCHOOL,Public School,Washington,PUTNAM CENTRAL SCHOOL,PUTNAM STATION,12861,126 COUNTY ROUTE 2,7,0,No,No,43.289513, -73.454761,49844,63216,58996,1734,260,1446
VAN CORTLANDTVILLE SCHOOL,Public School,Westchester,LAKELAND CENTRAL SCHOOL DISTRICT,MOHEGAN LAKE,10547,3100 E MAIN ST,0,1,No,Yes,41.039278, -73.805386,82132,949113,544563,126585,51123,207032
RICHARD MANN ELEM SCHOOL,Public School,Wayne,GANANDA CENTRAL SCHOOL,WALWORTH,14568,1366 WATERFORD RD,88,6,No,Yes,43.144336, -77.117995,76544,93772,85318,2743,465,3476
ORLEANS NIAGARA BOCES NIAGARA ACADEMY FAMIL EH BLDG (LEAD ONLY),BOCES School,Orleans,BOCES No District Name,SANBORN,14132,3181 SAUNDERS SETTLEMENT,49,4,No,Yes,43.248394, -78.218438,58620,42883,37658,2368,173,1757
BAY AVENUE SCHOOL,Public School,Suffolk,PATCHOGUE-MEDFORD U F SCH,PATCHOGUE,11772,114 BAY AVE,12,0,No,Yes,40.820237, -73.119032,69473,1493350,1068728,102117,50295,246239
FOX MEADOW SCHOOL,Public School,Westchester,SCARSDALE UNION FREE SCHOOL,SCARSDALE,10583,59 BREWSTER RD,60,0,No,Yes,41.039278, -73.805386,165792,949113,544563,126585,51123,207032
MASSAPEQUA H S,Public School,Nassau,MASSAPEQUA UNION FREE SCHOOL,MASSAPEQUA,11758,4925 MERRICK RD,50,0,No,Yes,40.715749, -73.601185,105349,1339532,877309,141305,101558,195355
K221,Public School,Kings,NYC DOE,Brooklyn,11213,791 EMPIRE BOULEVARD,55,0,No,No,40.663964, -73.935753,35344,2504700,893306,799066,260129,496285
Q400,Public School,Queens,NYC DOE,Queens,11434,156-10 BAISLEY BOULEVARD,163,0,No,No,40.673949, -73.782684,57393,2230722,616727,395881,508334,613750
Q415,Public School,Queens,NYC DOE,Queens,11364,57-00 223RD STREET,179,0,No,No,40.752343, -73.757271,73079,2230722,616727,395881,508334,613750
K046,Public School,Kings,NYC DOE,Brooklyn,11205,100 CLERMONT AVENUE,119,0,No,No,40.69453, -73.971644,42434,2504700,893306,799066,260129,496285
M061,Public School,New York,NYC DOE,Manhattan,10009,610 EAST 12 STREET,74,0,No,No,40.727537, -73.978254,59034,1585873,761493,205340,177624,403577
GUILDERLAND MS,Public School,Albany,GUILDERLAND CENTRAL SCHOOL DISTRICT,GUILDERLAND,12084,6072 STATE FARM RD,136,6,No,Yes,42.678066, -73.814233,77958,304204,231152,36396,14500,14917
COXSACKIE ELEM SCHOOL,Public School,Greene,COXSACKIE- ATHENS C S,COXSACKIE,12051,SUNSET BLVD,40,0,No,No,42.298326, -73.973376,43611,49221,42857,2606,382,2419
TAPPAN ZEE H S,Public School,Rockland,SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT,ORANGEBURG,10962,DUTCH HILL RD,173,99,No,Yes,41.127287, -74.017033,101786,311687,203670,34623,19099,48783
EAST HAMPTON H S,Public School,Suffolk,EAST HAMPTON UNION FREE SCHOOL,EAST HAMPTON,11937,2 LONG LN,242,47,No,Yes,40.820237, -73.119032,74758,1493350,1068728,102117,50295,246239
M009,Public School,New York,NYC DOE,Manhattan,10024,100 WEST 84 STREET,116,0,No,No,40.785234, -73.974256,110091,1585873,761493,205340,177624,403577
PAUL J GELINAS J H S,Public School,Suffolk,THREE VILLAGE CENTRAL SCHOOL,SETAUKET,11733,25 MUD RD,58,0,No,Yes,40.820237, -73.119032,115965,1493350,1068728,102117,50295,246239
R450,Public School,Richmond,NYC DOE,Staten Island,10301,105 HAMILTON AVENUE,115,0,No,No,40.645436, -74.082149,54792,468730,300169,44313,34697,81051
PENFIELD S H S,Public School,Monroe,PENFIELD CENTRAL SCHOOL,PENFIELD,14526,25 HIGH SCHOOL DR,47,0,No,No,43.161748, -77.620143,72759,744344,542034,107448,24023,54005
WFL BOCES WAYNE EDUCATION CENTER,BOCES School,Ontario,BOCES No District Name,WILLIAMSON,14589,4440 RIDGE RD,55,11,No,Yes,42.894571, -77.252045,57169,107931,99119,2226,1111,3679
CAMDEN ELEM SCHOOL,Public School,Oneida,CAMDEN CENTRAL SCHOOL,CAMDEN,13316,1 OSWEGO ST,92,1,No,Yes,43.149482, -75.361773,51552,234878,199254,13682,6522,10819
SAGAPONACK SCHOOL,Public School,Suffolk,SAGAPONACK COMMON SCHOOL,SAGAPONACK,11962,MAIN ST,1,0,No,No,40.820237, -73.119032,106250,1493350,1068728,102117,50295,246239
HARVEY C FENNER ES,Public School,Chautauqua,FALCONER CENTRAL SCHOOL DISTRICT,FALCONER,14733,HARVEY C FENNER ES,36,0,No,Yes,42.246904, -79.315313,41754,134905,120463,2763,676,8241
CLINTON-ESSEX-WARREN-WASHINGTON BOCES SOUTH HANGAR (LEAD ONLY),BOCES School,Clinton,BOCES No District Name,PLATTSBURGH,12901,518 RUGAR STREET,NA,NA,No,No,44.731944, -73.548883,42622,82128,74832,2953,890,2054
K345,Public School,Kings,NYC DOE,Brooklyn,11208,111 BERRIMAN STREET,118,0,No,No,40.676207, -73.879886,35665,2504700,893306,799066,260129,496285
Q034,Public School,Queens,NYC DOE,Queens,11429,104-12 SPRINGFIELD BOULEVARD,49,0,No,No,40.710986, -73.737702,70478,2230722,616727,395881,508334,613750
TEMPLE HILL SCHOOL,Public School,Orange,NEWBURGH ENLARGED CITY SCHOOL DISTRICT,NEWBURGH,12550,525 UNION AVE,86,39,No,Yes,41.422459, -74.241929,55036,372813,254259,33895,8685,67185
DUNKIRK MS,Public School,Chautauqua,DUNKIRK CITY SCHOOL DISTRICT,DUNKIRK,14048,525 EAGLE ST,97,3,No,Yes,42.246904, -79.315313,40121,134905,120463,2763,676,8241
LONGFELLOW MIDDLE SCHOOL,Public School,Westchester,MOUNT VERNON CITY SCHOOLS,MT VERNON,10550,624 SOUTH THIRD AVE,66,20,No,Yes,41.039278, -73.805386,40833,949113,544563,126585,51123,207032
BOARDMAN ELEM SCHOOL,Public School,Nassau,OCEANSIDE UNION FREE SCHOOL,OCEANSIDE,11572,170 BEATRICE AVE,14,0,No,Yes,40.715749, -73.601185,96756,1339532,877309,141305,101558,195355
FULTON SCHOOL,Public School,Nassau,HEMPSTEAD UNION FREE SCHOOL,HEMPSTEAD,11550,40 FULTON STREET,26,2,No,Yes,40.715749, -73.601185,54776,1339532,877309,141305,101558,195355
SCHOOL 57 EARLY CHILDHOOD SCHOOL OF ROCHESTER,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14608,15 COSTAR ST,34,0,No,Yes,43.161748, -77.620143,21555,744344,542034,107448,24023,54005
REMSENBURG-SPEONK ES,Public School,Suffolk,REMSENBURG SPEONK U F S,REMSENBURG,11960,MILL RD,19,1,No,Yes,40.820237, -73.119032,101711,1493350,1068728,102117,50295,246239
K495,Public School,Kings,NYC DOE,Brooklyn,11235,3000 AVENUE X,200,0,No,No,40.593157, -73.936635,42298,2504700,893306,799066,260129,496285
K258,Public School,Kings,NYC DOE,Brooklyn,11216,141 MACON STREET,90,0,No,No,40.68192, -73.9456,41688,2504700,893306,799066,260129,496285
HENRY H WELLS MIDDLE SCHOOL,Public School,Putnam,BREWSTER CENTRAL SCHOOL,BREWSTER,10509,570 RT 312,126,0,No,No,41.41131, -73.717443,94885,99710,82709,2047,1832,11661
EDWARD WILLIAMS,Public School,Westchester,MOUNT VERNON CITY SCHOOLS,MT VERNON,10553,9 UNION LN,81,6,No,Yes,41.039278, -73.805386,59946,949113,544563,126585,51123,207032
K705,Public School,Kings,NYC DOE,Brooklyn,11210,2886 BEDFORD AVENUE,47,0,No,No,40.632449, -73.952801,54664,2504700,893306,799066,260129,496285
K380,Public School,Kings,NYC DOE,Brooklyn,11206,370 MARCY AVENUE,151,0,No,No,40.70179, -73.953702,28584,2504700,893306,799066,260129,496285
K159,Public School,Kings,NYC DOE,Brooklyn,11208,2781 PITKIN AVENUE,46,0,No,No,40.676111, -73.869705,35665,2504700,893306,799066,260129,496285
WAVERLY AVENUE SCHOOL,Public School,Suffolk,SACHEM CENT SCH AT HOLBROOK,HOLTSVILLE,11742,1111 WAVERLY AVE,43,0,No,Yes,40.820237, -73.119032,86197,1493350,1068728,102117,50295,246239
CAROLINE G ATKINSON SCHOOL,Public School,Nassau,FREEPORT UNION FREE SCHOOL,FREEPORT,11520,BOX 50,36,0,No,Yes,40.715749, -73.601185,70516,1339532,877309,141305,101558,195355
THE WHEATLEY SCHOOL,Public School,Nassau,EAST WILLISTON U F S,OLD WESTBURY,11568,11 BACON RD,19,0,No,No,40.715749, -73.601185,212935,1339532,877309,141305,101558,195355
CICERO-NO SYRACUSE H S,Public School,Onondaga,NORTH SYRACUSE CENTRAL SCHOOL,CICERO,13039,6002 RT 31,132,75,No,Yes,43.065629, -76.168033,77207,467026,370040,48696,14370,18829
WSWHE BOCES SOUTH ADIRONDACK EDUCATIONAL CENTER BUILDING H (LEAD ONLY),BOCES School,Washington,BOCES No District Name,HUDSON FALLS,12839,1051 DIX AVENUE,11,2,No,Yes,43.289513, -73.454761,44869,63216,58996,1734,260,1446
K163,Public School,Kings,NYC DOE,Brooklyn,11214,1664 BENSON AVENUE,51,0,No,No,40.606739, -74.007469,41246,2504700,893306,799066,260129,496285
Q142,Public School,Queens,NYC DOE,Queens,11436,142-10 LINDEN BOULEVARD,98,0,No,No,40.683473, -73.800875,60820,2230722,616727,395881,508334,613750
SAUQUOIT VALLEY ELEMENTARY SCHOOL,Public School,Oneida,SAUQUOIT VALLEY CENTRAL,SAUQUOIT,13456,SULPHUR SPRINGS RD,120,0,No,No,43.149482, -75.361773,67955,234878,199254,13682,6522,10819
CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES SAW MILL @ ELLICOTTVILLE (LEAD ONLY),BOCES School,Cattaraugus,BOCES No District Name,ELLICOTTVILLE,14731,5550 ROUTE 242E,NA,NA,No,No,42.224267, -78.606673,48125,80317,73849,966,524,1345
HEMPSTEAD ELEM SCHOOL,Public School,Rockland,EAST RAMAPO CENTRAL SCHOOL,SPRING VALLEY,10977,80 BRICK CHURCH,52,27,No,Yes,41.127287, -74.017033,62813,311687,203670,34623,19099,48783
ADDISON H S,Public School,Steuben,ADDISON CENTRAL SCHOOL,ADDISON,14801,1 COLWELL ST,57,5,No,Yes,42.270053, -77.324618,46321,98990,93476,1487,1151,1371
EAST HILLS SCHOOL,Public School,Nassau,ROSLYN UNION FREE SCHOOL,ROSLYN HEIGHTS,11577,LOCUST LN,45,0,No,Yes,40.715749, -73.601185,115656,1339532,877309,141305,101558,195355
GREAT NECK SOUTH J H S,Public School,Nassau,GREAT NECK UNION FREE SCHOOL,GREAT NECK,11020,349 LAKEVILLE RD,14,0,No,Yes,40.715749, -73.601185,126143,1339532,877309,141305,101558,195355
X869,Public School,Bronx,NYC DOE,Bronx,10472,560 THERIOT AVENUE,15,0,No,No,40.8167, -73.86046,31594,1385108,151209,416695,47335,741413
CLINTON HIGH SCHOOL,Public School,Oneida,CLINTON CENTRAL SCHOOL,CLINTON,13323,75 CHENANGO AVE,101,11,No,Yes,43.149482, -75.361773,62341,234878,199254,13682,6522,10819
R460,Public School,Richmond,NYC DOE,Staten Island,10314,1200 MANOR ROAD,156,0,No,No,40.588985, -74.130819,79820,468730,300169,44313,34697,81051
PS 200 BENNETT HIGH SCHOOL,Public School,Erie,BUFFALO CITY SCHOOLS,NA,NA,NA,158,3,No,Yes,42.888143, -78.795544,NA,919040,714156,119916,23621,41731
