School,Type_of_Organization,County,School_District,School_City,School_Zip_Code,School_Street,Number_of_Outlets_LT_15_ppb,Number_of_Outlets_GT_15_ppb,Any_Buildings_with_Lead_Free_Plumbing,Out_of_Service,Latitude,Longitude,Median_HH_income,County_population,County_White,County_Black_AfAm,County_Asian,County_Hispanic_Latino
Q667,Public School,Queens,NYC DOE,Queens,11101,24-30 SKILLMAN AVENUE,58,0,No,No,40.742107, -73.945269,43909,2230722,616727,395881,508334,613750
X358,Public School,Bronx,NYC DOE,Bronx,10459,1211 SOUTHERN BOULEVARD,22,0,No,No,40.829306, -73.892243,21913,1385108,151209,416695,47335,741413
DELEVAN ES,Public School,Cattaraugus,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,DELEVAN,14042,30 SCHOOL ST,89,0,No,Yes,42.224267, -78.606673,36389,80317,73849,966,524,1345
DUANESBURG J S H S,Public School,Schenectady,DUANESBURG CENTRAL SCHOOL,DELANSON,12053,163 SCHOOL DR,79,24,No,Yes,42.809233, -73.946838,76994,154727,119409,13528,4917,8827
Q228,Public School,Queens,NYC DOE,Queens,11369,32-63 93 STREET,69,0,No,No,40.756931, -73.874947,55553,2230722,616727,395881,508334,613750
EASTERN SUFFOLK BOCES BROOKHAVEN LEARNING CTR WEST (LEAD ONLY),BOCES School,Suffolk,BOCES No District Name,BELLPORT,11713,351 MARTHA AVE,33,0,No,Yes,40.820237, -73.119032,76875,1493350,1068728,102117,50295,246239
DAYTON AVE ES,Public School,Suffolk,EASTPORT SOUTH MANOR CENTRAL SCHOOL,MANORVILLE,11949,543 MORICHES MIDDLE ISLAND RD,27,0,No,Yes,40.820237, -73.119032,99800,1493350,1068728,102117,50295,246239
ALGONQUIN MS,Public School,Rensselaer,AVERILL PARK CENTRAL SCHOOL,AVERILL PARK,12018,333 NY RT 351,100,0,No,Yes,42.70098, -73.628669,74722,159429,136555,9592,3469,6080
COMO PARK ELEM SCHOOL,Public School,Erie,LANCASTER CENTRAL SCHOOL,LANCASTER,14086,1985 COMO PARK BLVD,66,0,No,Yes,42.888143, -78.795544,73024,919040,714156,119916,23621,41731
X070,Public School,Bronx,NYC DOE,Bronx,10457,1691 WEEKS AVENUE,80,0,No,No,40.844236, -73.90807,24445,1385108,151209,416695,47335,741413
EAST NORTHPORT MS,Public School,Suffolk,NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT,E NORTHPORT,11731,1075 FIFTH AVE,176,0,No,Yes,40.820237, -73.119032,104881,1493350,1068728,102117,50295,246239
GANSEVOORT SCHOOL,Public School,Oneida,ROME CITY SCHOOLS,ROME,13440,758 W. Liberty Street,81,0,No,No,43.149482, -75.361773,50466,234878,199254,13682,6522,10819
LIBERTY MIDDLE SCHOOL,Public School,Sullivan,LIBERTY CENTRAL SCHOOL DISTRICT,LIBERTY,12754,145 BUCKLEY ST,54,0,No,No,41.705166, -74.711705,41861,77547,57780,6349,1033,10554
Q686,Public School,Queens,NYC DOE,Queens,11375,91-30 METROPOLITAN AVENUE,352,0,No,No,40.708431, -73.855543,72538,2230722,616727,395881,508334,613750
K853,Public School,Kings,NYC DOE,Brooklyn,11216,234 HERKIMER STREET,21,0,No,No,40.679032, -73.94491,41688,2504700,893306,799066,260129,496285
WFL BOCES AT RED JACKET EDUCATION CENTER,BOCES School,Ontario,BOCES No District Name,SHORTSVILLE,14548,1506 ROUTE 21,39,3,This school has one or more lead-free buildings,Yes,42.894571, -77.252045,62043,107931,99119,2226,1111,3679
BAILEY AVENUE SCHOOL,Public School,Clinton,PLATTSBURGH CITY SCHOOL DISTRICT,PLATTSBURGH,12901,50 BAILEY AVE,7,0,No,Yes,44.731944, -73.548883,42622,82128,74832,2953,890,2054
BAYVILLE INTERMEDIATE SCHOOL,Public School,Nassau,LOCUST VALLEY CENTRAL SCHOOL,BAYVILLE,11709,MOUNTAIN AVE,60,5,No,Yes,40.715749, -73.601185,90096,1339532,877309,141305,101558,195355
CHANCELLOR LIVINGSTON ES,Public School,Dutchess,RHINEBECK CENTRAL SCHOOL,RHINEBECK,12572,49 KNOLLWOOD RD,110,0,No,No,41.686216, -73.840468,72331,297488,221812,27395,10330,31267
MANETUCK ELEM SCHOOL,Public School,Suffolk,WEST ISLIP UNION FREE SCHOOL,WEST ISLIP,11795,800 VAN BUREN AVE,99,3,No,Yes,40.820237, -73.119032,108963,1493350,1068728,102117,50295,246239
PARISHVILLE-HOPKINGTON JUNIOR/SENIOR HIGH SCHOOL,Public School,St. Lawrence,PARISHVL HOPKINTON CENT SCH,PARISHVILLE,13672,12 COUNTY RT 47,65,1,No,Yes,44.689468, -75.242045,25556,111944,103943,2259,1074,2146
K058,Public School,Kings,NYC DOE,Brooklyn,11231,330 SMITH STREET,123,0,No,No,40.680379, -73.995486,71999,2504700,893306,799066,260129,496285
ROSENDALE SCHOOL - SCHENECTADY,Public School,Schenectady,NISKAYUNA CENTRAL SCHOOL,SCHENECTADY,12309,2436 ROSENDALE RD,84,4,No,Yes,42.809233, -73.946838,88982,154727,119409,13528,4917,8827
EAST SYRACUSE ELEMENTARY,Public School,Onondaga,EAST SYRACUSE-MINOA CENTRAL SCHOOL,E SYRACUSE,13057,230 KINNE ST,95,0,No,No,43.065629, -76.168033,54819,467026,370040,48696,14370,18829
CANDLEWOOD J H S,Public School,Suffolk,HALF HOLLOW HILLS CENTRAL SCH,DIX HILLS,11746,1200 CARLL STRAIGHT,42,0,No,Yes,40.820237, -73.119032,96499,1493350,1068728,102117,50295,246239
Q920,Public School,Queens,NYC DOE,Queens,11691,160 BEACH 29TH STREET,10,0,No,No,40.59348, -73.761086,38631,2230722,616727,395881,508334,613750
SPACKENKILL HS,Public School,Dutchess,SPACKENKILL UNION FREE SCHOOL,POUGHKEEPSIE,12603,112 SPACKENKILL RD,80,2,No,Yes,41.686216, -73.840468,79371,297488,221812,27395,10330,31267
Q244,Public School,Queens,NYC DOE,Queens,11355,137-20 FRANKLIN AVENUE,103,0,No,No,40.754483, -73.826192,43248,2230722,616727,395881,508334,613750
MILTON SCHOOL,Public School,Westchester,RYE CITY SCHOOL DISTRICT,RYE,10580,HEWLET ST,58,9,No,Yes,41.039278, -73.805386,150486,949113,544563,126585,51123,207032
CHITTENANGO H S,Public School,Madison,CHITTENANGO CENTRAL SCHOOL,CHITTENANGO,13037,GENESEE ST,123,46,No,Yes,42.986917, -75.720031,61128,73442,68916,1260,576,1316
K370,Public School,Kings,NYC DOE,Brooklyn,11224,3000 WEST 1 STREET,52,0,No,No,40.577709, -73.969872,31415,2504700,893306,799066,260129,496285
K650,Public School,Kings,NYC DOE,Brooklyn,11211,257 NORTH 6 STREET,158,0,No,No,40.715561, -73.954815,44173,2504700,893306,799066,260129,496285
HOLLEY MS/HS,Public School,Orleans,HOLLEY CENTRAL SCHOOL,HOLLEY,14470,LYNCH RD,96,0,No,Yes,43.248394, -78.218438,53292,42883,37658,2368,173,1757
CHESTNUT ST SCHOOL,Public School,Nassau,WEST HEMPSTEAD U F S,WEST HEMPSTEAD,11552,252 CHESTNUT ST,6,0,No,Yes,40.715749, -73.601185,96323,1339532,877309,141305,101558,195355
Q212,Public School,Queens,NYC DOE,Queens,11372,34-25 82 STREET,127,0,No,No,40.753035, -73.884458,47750,2230722,616727,395881,508334,613750
SCHOOL  5,Public School,Westchester,YONKERS CITY SCHOOLS,YONKERS,10701,LOCKWOOD AVE,62,0,No,No,41.039278, -73.805386,42827,949113,544563,126585,51123,207032
X032,Public School,Bronx,NYC DOE,Bronx,10458,690 EAST 183 STREET,93,0,No,No,40.851724, -73.88622,24478,1385108,151209,416695,47335,741413
GUARDINO ELEM SCHOOL,Public School,Jefferson,THOUSAND ISLANDS CENTRAL SCHOOL,CLAYTON,13624,GUARDINO ELEM SCHOOL,60,1,No,Yes,44.019295, -75.898971,49504,116229,99682,5475,1464,6143
ELM STREET ELEM SCHOOL,Public School,Tioga,WAVERLY CENTRAL SCHOOL,WAVERLY,14892,145 ELM ST,15,0,This school has one or more lead-free buildings,Yes,42.120252, -76.29595,49265,51125,49105,349,371,694
TWIN TOWERS MS,Public School,Orange,MIDDLETOWN CITY SCHOOLS,MIDDLETOWN,10940,112 GRAND AVE,119,9,No,Yes,41.422459, -74.241929,60365,372813,254259,33895,8685,67185
K316,Public School,Kings,NYC DOE,Brooklyn,11238,750 CLASSON AVENUE,131,0,No,No,40.674685, -73.961418,64981,2504700,893306,799066,260129,496285
Q456,Public School,Queens,NYC DOE,Queens,11368,105-25 HORACE HARDING EXPY N,53,0,No,No,40.737673, -73.853412,46325,2230722,616727,395881,508334,613750
MENANDS SCHOOL,Public School,Albany,MENANDS UNION FREE SCHOOL DISTRICT,MENANDS,12204,WARDS LN,53,9,No,Yes,42.678066, -73.814233,50810,304204,231152,36396,14500,14917
K205,Public School,Kings,NYC DOE,Brooklyn,11204,6701 20 AVENUE,109,0,No,No,40.614737, -73.986792,45112,2504700,893306,799066,260129,496285
POTSDAM S H S,Public School,St. Lawrence,POTSDAM CENTRAL SCHOOL,POTSDAM,13676,29 LEROY ST,74,8,No,Yes,44.689468, -75.242045,42853,111944,103943,2259,1074,2146
HAMPTON BAYS ELEM SCHOOL,Public School,Suffolk,HAMPTON BAYS UNION FREE SCHOOL,HAMPTON BAYS,11946,72 PONQUOGUE AVE,39,0,No,Yes,40.820237, -73.119032,72049,1493350,1068728,102117,50295,246239
M114,Public School,New York,NYC DOE,Manhattan,10128,331 EAST 91ST STREET,82,0,No,No,40.780452, -73.947379,96974,1585873,761493,205340,177624,403577
K415,Public School,Kings,NYC DOE,Brooklyn,11203,5800 TILDEN AVENUE,139,0,No,No,40.647728, -73.922212,49002,2504700,893306,799066,260129,496285
K153,Public School,Kings,NYC DOE,Brooklyn,11229,1970 HOMECREST AVENUE,78,0,No,No,40.601179, -73.960027,49629,2504700,893306,799066,260129,496285
SCHOOL 67 JOSEPH C WILSON MAGNET HS COMMENCEMENT ACADEMY,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14611,501 GENESEE ST,47,1,No,Yes,43.161748, -77.620143,23320,744344,542034,107448,24023,54005
CENTRAL H S,Public School,Nassau,VALLEY STR CENTRAL H S,VALLEY STREAM,11580,FLETCHER AVE,227,0,No,Yes,40.715749, -73.601185,87482,1339532,877309,141305,101558,195355
GEORGE WASHINGTON SCHOOL,Public School,Ulster,KINGSTON CITY SCHOOLS,KINGSTON,12401,67 WALL ST,77,0,No,Yes,41.848374, -74.099412,48650,182493,149099,9982,3060,15909
TULLY J S H S,Public School,Onondaga,TULLY CENTRAL SCHOOL,TULLY,13159,ELM ST,130,0,No,Yes,43.065629, -76.168033,70167,467026,370040,48696,14370,18829
CASIMIR PULASKI,Public School,Westchester,YONKERS CITY SCHOOLS,YONKERS,10583,100 KINGS CROSS,54,0,No,No,41.039278, -73.805386,165792,949113,544563,126585,51123,207032
ONTEORA H S,Public School,Ulster,ONTEORA CENTRAL SCHOOL,BOICEVILLE,12412,4166 RT 28,101,18,No,Yes,41.848374, -74.099412,55601,182493,149099,9982,3060,15909
GREATER SOUTHERN TIER BOCES COOPERS 6 COSMETOLOGY (LEAD ONLY),BOCES School,Schuyler,BOCES No District Name,PAINTED POST,14870,ROAD 2,1,0,No,Yes,42.38593, -76.872032,54555,18343,17646,143,51,234
GREENWICH ELEM SCHOOL,Public School,Washington,GREENWICH CENTRAL SCHOOL,GREENWICH,12834,GREENWICH ELEM SCHOOL,92,20,No,Yes,43.289513, -73.454761,58483,63216,58996,1734,260,1446
M025,Public School,New York,NYC DOE,Manhattan,10002,145 STANTON STREET,114,0,No,No,40.72004, -73.986038,32265,1585873,761493,205340,177624,403577
JOHNSBURG CENTRAL SCHOOL,Public School,Warren,JOHNSBURG CENTRAL SCHOOL,NORTH CREEK,12853,165 MAIN ST,101,11,No,Yes,43.403024, -73.716044,44879,65707,62585,556,449,1178
X137,Public School,Bronx,NYC DOE,Bronx,10457,2225 WEBSTER AVENUE,116,0,No,No,40.854257, -73.897404,24445,1385108,151209,416695,47335,741413
ERIE 2 BOCES HEWES EDUCATION CENTER E BLDG (LEAD ONLY),BOCES School,Erie,BOCES No District Name,ASHVILLE,14710,2165 NORTH MAPLE STREET,39,7,No,Yes,42.888143, -78.795544,53563,919040,714156,119916,23621,41731
WILLIAM PACA MIDDLE SCHOOL,Public School,Suffolk,WILLIAM FLOYD U F SCHOOL,MASTIC BEACH,11951,338 BLANCO DR,199,2,No,Yes,40.820237, -73.119032,68243,1493350,1068728,102117,50295,246239
J E LANIGAN SCHOOL,Public School,Oswego,FULTON CITY SCHOOLS,FULTON,13069,59 BAKEMAN ST,81,15,No,Yes,43.39123, -76.31133,43493,122109,116091,862,709,2552
NASSAU BOCES LONG ISLAND HS FOR THE ARTS BLDG A (LEAD ONLY),BOCES School,Nassau,BOCES No District Name,SYOSSET,11791,239 COLD SPRING ROAD,3,0,No,Yes,40.715749, -73.601185,137796,1339532,877309,141305,101558,195355
M011,Public School,New York,NYC DOE,Manhattan,10011,320 WEST 21 STREET,80,0,No,No,40.744186, -74.000743,101515,1585873,761493,205340,177624,403577
M874,Public School,New York,NYC DOE,Manhattan,10010,55 EAST 25 STREET,43,0,No,No,40.741888, -73.985723,95556,1585873,761493,205340,177624,403577
K346,Public School,Kings,NYC DOE,Brooklyn,11239,1400 PENNSYLVANIA AVENUE,142,0,No,No,40.64664, -73.881997,24640,2504700,893306,799066,260129,496285
ELLICOTTVILLE ES,Public School,Cattaraugus,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,ELLICOTTVILLE,14731,5873 RT 219,43,0,No,No,42.224267, -78.606673,48125,80317,73849,966,524,1345
K241,Public School,Kings,NYC DOE,Brooklyn,11225,976 PRESIDENT STREET,59,0,No,No,40.668913, -73.960924,40481,2504700,893306,799066,260129,496285
K031,Public School,Kings,NYC DOE,Brooklyn,11222,75 MESEROLE AVENUE,82,0,No,No,40.72697, -73.954139,62634,2504700,893306,799066,260129,496285
RED JACKET HS,Public School,Ontario,MANCHESTER-SHORTSVILLE SCHOOL DISTRICT,SHORTSVILLE,14548,1506 ROUTE 21,163,1,No,Yes,42.894571, -77.252045,62043,107931,99119,2226,1111,3679
M155,Public School,New York,NYC DOE,Manhattan,10035,319 EAST 117 STREET,111,0,No,No,40.797507, -73.935895,26214,1585873,761493,205340,177624,403577
Q520,Public School,Queens,NYC DOE,Queens,11101,45-35 VAN DAM STREET,76,0,No,No,40.743253, -73.933316,43909,2230722,616727,395881,508334,613750
K564,Public School,Kings,NYC DOE,Brooklyn,11232,153 35TH STREET,142,0,No,No,40.655583, -74.004342,40565,2504700,893306,799066,260129,496285
